ID,name,Team & Contract,Age,Best position,Value,Potential,Overall rating,Wage,Release clause,International reputation,Total stats,Growth,Total movement,Total power,Total mentality,Total skill,Total defending,Total goalkeeping,Total attacking,Position group,Cluster
277179,Fermín CM LW CAM,"FC Barcelona
2023 ~ 2027",20,CAM,3500000.0,81,70,41000.0,7900000.0,1,1794,11,382,291,302,319,175,44,281,Midfield,1
256402,C. Alcaraz ST CM CAM,"Juventus
Jun 30, 2024 On loan",20,CAM,6500000.0,84,73,28000.0,0.0,1,1982,11,400,356,340,371,139,48,328,Midfield,1
242530,N. Okafor ST LW CAM,"Milan
2023 ~ 2028",23,CAM,21500000.0,84,77,53000.0,40900000.0,1,1938,7,416,390,294,357,83,50,348,Midfield,1
238067,N. Zaniolo RM CF ST,"Aston Villa
Jun 30, 2024 On loan",23,CAM,19000000.0,82,77,37000.0,0.0,2,2074,3,373,397,364,364,175,48,353,Midfield,1
241811,Sergio Gómez LB,"Manchester City
2022 ~ 2026",22,CAM,9000000.0,83,74,64000.0,18500000.0,1,2052,9,380,338,368,371,212,48,335,Midfield,1
250723,K. Koné CM,"Borussia Mönchengladbach
2021 ~ 2026",22,CAM,17000000.0,84,76,23000.0,32299999.999999996,2,2058,8,377,382,341,359,208,51,340,Midfield,1
261299,A. Scott CM CAM,"AFC Bournemouth
2023 ~ 2028",19,CAM,5500000.0,84,72,18000.0,11600000.0,1,1962,12,389,335,321,363,191,54,309,Midfield,1
237386,K. Dewsbury-Hall CM,"Leicester City
2016 ~ 2027",24,CM,19000000.0,81,78,41000.0,35600000.0,1,2092,3,362,380,361,380,202,53,354,Midfield,1
241925,C. Führich LM LW CAM,"VfB Stuttgart
2021 ~ 2028",25,LM,12500000.0,78,77,25000.0,22200000.0,2,1921,1,405,327,299,370,158,43,319,Midfield,1
242908,J. Clarke LM,"Sunderland
2022 ~ 2026",22,RM,12500000.0,83,75,28000.0,26300000.0,1,1850,8,401,331,306,334,114,44,320,Midfield,1
243478,E. Loiodice CM CDM,"Las Palmas
2020 ~ 2025",22,CM,12500000.0,84,75,17000.0,28800000.0,1,1975,9,353,353,341,368,214,49,297,Midfield,1
251421,B. Johnson RW RM,"Tottenham Hotspur
2023 ~ 2028",22,RM,17000000.0,83,77,68000.0,35700000.0,1,1901,6,404,342,284,325,143,52,351,Midfield,1
252324,Riquelme LM LWB,"Atlético Madrid
2019 ~ 2028",23,CAM,22000000.0,84,78,44000.0,50600000.0,1,1926,6,396,318,316,362,144,48,342,Midfield,1
258467,L. Romero RM,"Almería
Jun 30, 2024 On loan",18,LM,5500000.0,84,72,13000.0,0.0,1,1868,12,399,306,327,320,151,57,308,Midfield,1
260601,E. Zeballos RM RW LW,"Boca Juniors
2020 ~ 2026",21,RM,7000000.0,84,73,12000.0,11900000.0,1,1739,11,415,296,271,339,97,41,280,Midfield,1
236015,M. Gibbs-White CAM CF,"Nottingham Forest
2022 ~ 2027",23,CAM,20000000.0,82,78,56000.0,39500000.0,1,2046,4,385,361,350,381,170,54,345,Midfield,1
268896,H. Larsson CM CDM,"Eintracht Frankfurt
2023 ~ 2028",19,CM,7000000.0,85,73,16000.0,13300000.0,1,1896,12,357,359,331,324,181,48,296,Midfield,1
251806,Q. Timber CM CAM CDM,"Feyenoord
2022 ~ 2026",22,CM,21500000.0,84,77,16000.0,34400000.0,1,2076,7,393,402,357,349,217,44,314,Midfield,1
259240,A. Wharton CDM CM,"Crystal Palace
2024 ~ 2029",19,CM,8500000.0,85,75,16000.0,17900000.0,1,1964,11,364,343,328,354,211,47,317,Midfield,1
261224,Hugo Bueno LWB LB,"Wolverhampton Wanderers
2021 ~ 2028",20,LM,6500000.0,81,73,30000.0,13700000.0,1,1905,8,371,305,318,365,200,51,295,Midfield,1
262113,N. Zalewski LWB LM RM,"Roma
2020 ~ 2025",21,RM,11000000.0,82,75,32000.0,20900000.0,1,2001,7,393,325,346,372,196,45,324,Midfield,1
231448,R. Nelson RW LW,"Arsenal
2016 ~ 2027",23,RM,9000000.0,81,75,74000.0,18500000.0,1,1836,6,402,311,288,355,105,61,314,Midfield,1
235735,E. Ampadu CDM CB CM,"Leeds United
2023 ~ 2027",22,CDM,11000000.0,82,76,33000.0,23100000.0,2,1851,6,349,332,318,294,228,54,276,Midfield,1
246923,J. Ramsey LM CM RM,"Aston Villa
2017 ~ 2027",22,CAM,21500000.0,83,78,66000.0,42500000.0,1,2084,5,399,383,346,355,206,49,346,Midfield,1
252238,A. Velasco LM LW CAM,"Dallas
2022 ~ 2025",20,CAM,12500000.0,84,75,7000.0,20600000.0,1,1956,9,416,340,312,363,155,44,326,Midfield,1
256476,M. Cho ST,"Nice
2024 ~ 2028",19,CAM,5000000.0,83,72,18000.0,10500000.0,1,1681,11,364,333,260,300,65,35,324,Midfield,1
234570,Jota LM RM RW,"Al Ittihad
2023 ~ 2026",24,CAM,10000000.0,79,76,32000.0,16800000.0,2,1912,3,417,338,295,374,94,51,343,Midfield,1
243593,A. Laurienté LW LM,"Sassuolo
2022 ~ 2027",24,CAM,29000000.0,83,80,22000.0,51500000.0,1,1981,3,407,371,285,398,111,63,346,Midfield,1
252308,A. Al Musrati CDM CM,"Beşiktaş
Jun 30, 2024 On loan",27,CDM,21500000.0,81,80,18000.0,0.0,1,1983,1,300,391,362,319,241,45,325,Midfield,1
254088,A. Diallo RM CAM RW,"Manchester United
2021 ~ 2025",20,CAM,9500000.0,83,74,57000.0,20000000.0,1,1757,9,412,314,266,339,66,53,307,Midfield,1
261050,Francisco Conceição RM,"Porto
Jun 30, 2024 On loan",20,LM,21000000.0,84,78,13000.0,0.0,1,1819,7,422,291,280,349,112,51,314,Midfield,1
271916,Bryan Zaragoza RM LM CAM,"FC Bayern München
Jun 30, 2024 On loan",21,RM,9500000.0,84,74,13000.0,0.0,1,1805,10,388,314,272,359,95,47,330,Midfield,1
245541,G. Reyna RM CAM,"Nottingham Forest
Jun 30, 2024 On loan",20,CAM,22000000.0,84,78,33000.0,0.0,2,1934,6,392,370,295,372,107,56,342,Midfield,1
248793,M. Wieffer CDM CM,"Feyenoord
2022 ~ 2027",23,CDM,20500000.0,84,78,15000.0,32799999.999999996,1,2050,6,345,381,356,352,217,52,347,Midfield,1
253108,M. Cham CF RW CAM,"Clermont
2022 ~ 2026",22,CAM,3800000.0,78,72,13000.0,8400000.0,1,1701,6,363,299,265,349,60,46,319,Midfield,1
253177,Y. Musah CM RWB CDM,"Milan
2023 ~ 2028",20,RM,12500000.0,83,75,37000.0,23800000.0,1,2063,8,393,384,350,342,219,51,324,Midfield,1
254566,P. Wimmer RM ST,"VfL Wolfsburg
2022 ~ 2027",22,CAM,17000000.0,83,77,37000.0,32299999.999999996,2,1939,6,406,361,314,336,145,61,316,Midfield,1
256958,Fábio Vieira CAM CM,"Arsenal
2022 ~ 2027",23,CAM,16500000.0,83,77,76000.0,33800000.0,1,1872,6,368,319,308,377,118,48,334,Midfield,1
257084,L. Ugochukwu CM CDM,"Chelsea
2023 ~ 2030",19,CDM,5000000.0,82,72,33000.0,10500000.0,1,1917,10,336,355,319,325,215,57,310,Midfield,1
259849,Gabriel Veron RM LM,"Porto
2022 ~ 2027",20,CAM,12500000.0,84,75,10000.0,27500000.0,1,1739,9,392,300,273,341,75,50,308,Midfield,1
262151,E. Fernández CDM CM,"Boca Juniors
2021 ~ 2025",20,CDM,6500000.0,81,73,10000.0,11100000.0,1,1851,8,355,345,308,313,212,47,271,Midfield,1
271400,Igor Paixão LW RW,"Feyenoord
2022 ~ 2027",23,CAM,16500000.0,83,77,17000.0,26400000.0,1,1926,6,416,367,286,361,87,53,356,Midfield,1
235619,M. Edwards RW LW ST,"Sporting CP
2022 ~ 2026",24,CAM,29000000.0,82,79,17000.0,60200000.0,1,1876,3,436,311,285,368,94,55,327,Midfield,1
235883,R. Sessegnon LB LWB,"Tottenham Hotspur
2019 ~ 2025",23,LM,8000000.0,80,75,49000.0,15800000.0,1,1960,5,382,322,351,323,215,39,328,Midfield,1
236007,E. Barco CAM LM CM,"River Plate
2023 ~ 2026",24,CAM,14500000.0,80,77,18000.0,21400000.0,1,1927,3,413,326,335,386,124,36,307,Midfield,1
237034,Cucho Hernández ST CF LM,"Columbus Crew
2022 ~ 2025",24,CAM,21500000.0,83,78,10000.0,32799999.999999996,1,2026,5,401,388,329,369,127,46,366,Midfield,1
237328,N. Tella RM LM,"Bayer 04 Leverkusen
2023 ~ 2028",23,RM,9000000.0,81,75,36000.0,17100000.0,1,1785,6,409,324,273,317,91,41,330,Midfield,1
250959,A. Stiller CM CDM,"VfB Stuttgart
2023 ~ 2027",22,CM,14500000.0,80,78,23000.0,25700000.0,1,1969,3,353,358,319,368,214,44,313,Midfield,1
252975,B. Traoré CDM CM,"Wolverhampton Wanderers
2023 ~ 2027",21,CDM,4000000.0,82,72,23000.0,8400000.0,1,1856,10,348,336,320,314,200,59,279,Midfield,1
253054,H. Hackney CDM CM,"Middlesbrough
2019 ~ 2027",21,CM,5000000.0,83,72,14000.0,10500000.0,1,1911,11,359,331,337,336,206,63,279,Midfield,1
255069,Nico González CDM CM,"Porto
2023 ~ 2028",21,CDM,11000000.0,82,76,9000.0,24200000.0,1,1958,6,319,362,352,335,210,57,323,Midfield,1
256725,Fábio Carvalho CAM CM LM,"Hull City
Jun 30, 2024 On loan",20,CAM,9500000.0,83,74,53000.0,0.0,1,1793,9,395,297,276,338,130,47,310,Midfield,1
257271,L. Gourna-Douath CDM CM,"Salzburg
2022 ~ 2027",19,CDM,6000000.0,83,73,8000.0,10200000.0,1,1870,10,361,346,325,299,208,46,285,Midfield,1
258775,L. Sučić CAM CM,"Salzburg
2019 ~ 2025",20,CAM,9500000.0,83,74,13000.0,16200000.0,1,1950,9,360,360,322,375,141,55,337,Midfield,1
261082,C. Medina CM,"Boca Juniors
2020 ~ 2027",21,CAM,12500000.0,84,75,14000.0,21300000.0,1,1959,9,381,333,338,344,211,40,312,Midfield,1
264862,M. Akliouche RM CAM CF,"Monaco
2020 ~ 2026",21,CAM,12500000.0,84,75,31000.0,26300000.0,1,1837,9,374,307,299,364,135,40,318,Midfield,1
271577,I. Sulemana CDM CM,"Cagliari
2023 ~ 2027",20,CDM,3300000.0,81,70,9000.0,6600000.0,1,1928,11,376,369,319,305,205,52,302,Midfield,1
272500,C. Baleba CDM CM,"Brighton & Hove Albion
2023 ~ 2028",19,CM,3600000.0,82,71,18000.0,7600000.0,1,1839,12,370,335,313,312,195,52,262,Midfield,1
220673,R. Tapia CDM CM CB,"Celta de Vigo
2020 ~ 2024",27,CDM,16500000.0,79,79,26000.0,34700000.0,1,2093,0,353,393,370,332,244,60,341,Midfield,1
221660,V. Lindelöf CB LB,"Manchester United
2017 ~ 2025",28,CDM,16500000.0,80,79,105000.0,32600000.0,2,1941,1,317,345,342,349,239,52,297,Midfield,1
225782,A. Maitland-Niles RB CM,"Olympique Lyonnais
2023 ~ 2027",25,CM,3500000.0,75,73,23000.0,6900000.0,2,1956,2,362,349,356,328,210,54,297,Midfield,1
231227,N. Dorsch CDM CM,"FC Augsburg
2021 ~ 2026",25,CM,7000000.0,79,75,22000.0,13100000.0,2,2049,4,371,381,348,357,217,40,335,Midfield,1
234060,Y. Herrera CM CDM,"Girona
2023 ~ 2027",25,CM,26500000.0,82,80,32000.0,57600000.0,1,2134,2,342,404,381,362,238,44,363,Midfield,1
239380,N. Lang LW,"PSV
2023 ~ 2028",24,CAM,26500000.0,84,79,21000.0,39100000.0,1,2045,5,422,356,349,369,141,57,351,Midfield,1
242664,A. Saelemaekers RM RW LM,"Bologna
Jun 30, 2024 On loan",24,RM,20000000.0,82,78,52000.0,0.0,1,2019,4,401,343,322,375,195,48,335,Midfield,1
243014,B. Mbeumo RW ST,"Brentford
2019 ~ 2026",23,LM,24000000.0,82,79,59000.0,47400000.0,1,2101,3,407,389,373,370,131,63,368,Midfield,1
248573,J. Dina Ebimbe RM CM RWB,"Eintracht Frankfurt
2023 ~ 2027",22,RM,11500000.0,81,76,30000.0,20400000.0,1,2010,5,394,368,343,334,204,48,319,Midfield,1
266436,Javi Guerra CM CDM,"Valencia
2021 ~ 2027",20,CAM,9000000.0,85,74,21000.0,20700000.0,1,1963,11,334,353,346,341,209,55,325,Midfield,1
212096,V. Grifo LM CF,"SC Freiburg
2019 ~ 2027",30,LM,25000000.0,81,81,38000.0,42500000.0,2,2026,0,379,362,347,418,109,52,359,Midfield,1
226790,W. Ndidi CDM CM,"Leicester City
2017 ~ 2024",26,CDM,18500000.0,80,79,48000.0,34700000.0,2,2066,1,344,377,364,343,237,54,347,Midfield,1
241042,O. Skipp CDM CM,"Tottenham Hotspur
2018 ~ 2027",22,CDM,15000000.0,82,77,56000.0,29600000.0,1,1848,5,344,312,337,322,232,41,260,Midfield,1
243627,Y. Adli CDM CM CAM,"Milan
2021 ~ 2026",22,CM,11000000.0,82,76,41000.0,20900000.0,1,2091,6,363,364,354,390,210,59,351,Midfield,1
248805,Sergio Camello ST,"Rayo Vallecano
2023 ~ 2027",22,CAM,12500000.0,84,75,18000.0,28800000.0,1,1792,9,360,345,283,341,64,56,343,Midfield,1
251377,R. Zalazar CAM CM CDM,"Sporting Braga
2023 ~ 2028",23,CAM,9000000.0,81,75,12000.0,19800000.0,1,2070,6,401,384,349,370,191,40,335,Midfield,1
252027,A. Vranckx CM CDM,"VfL Wolfsburg
2021 ~ 2025",20,CM,8500000.0,81,74,26000.0,16200000.0,1,1993,7,347,372,326,354,209,55,330,Midfield,1
262642,Z. Amdouni ST CAM,"Burnley
2023 ~ 2028",22,CAM,7000000.0,81,72,34000.0,15400000.0,1,1910,9,360,371,319,342,130,51,337,Midfield,1
262880,R. Onyedika CDM CM,"Club Brugge
2022 ~ 2027",22,CDM,10500000.0,83,76,17000.0,17900000.0,1,1946,7,359,388,325,314,216,50,294,Midfield,1
266270,A. Ramsey LM CM CAM,"Burnley
2023 ~ 2028",20,CAM,3800000.0,82,70,18000.0,8400000.0,1,1799,12,360,311,297,341,150,56,284,Midfield,1
191202,N. Matić CDM CM,"Olympique Lyonnais
2024 ~ 2026",34,CDM,7000000.0,80,80,40000.0,13300000.0,3,1987,0,245,375,351,377,231,57,351,Midfield,1
235008,L. Robertone CM CAM CDM,"Almería
2020 ~ 2028",26,CAM,20500000.0,80,79,32000.0,44600000.0,2,2208,1,405,393,381,393,216,61,359,Midfield,1
238227,K. Diatta RM,"Monaco
2021 ~ 2025",24,RM,7500000.0,78,75,36000.0,14800000.0,1,1955,3,416,368,302,338,147,52,332,Midfield,1
240451,J. Beste LM,"Heidenheim
2022 ~ 2025",24,LM,14500000.0,80,77,27000.0,27200000.0,1,2012,3,396,352,320,395,184,50,315,Midfield,1
240709,R. Baku RB RM,"VfL Wolfsburg
2020 ~ 2025",25,RM,13000000.0,80,77,37000.0,23100000.0,2,2114,3,413,385,360,357,220,46,333,Midfield,1
243353,B. Mumba LWB LW RWB,"Plymouth Argyle
2023 ~ 2027",21,RM,4000000.0,79,71,8000.0,8199999.999999999,1,1882,8,421,306,302,318,197,56,282,Midfield,1
246053,J. Gelhardt CAM ST CF,"Leeds United
2020 ~ 2027",21,CAM,3600000.0,79,70,17000.0,7600000.0,1,1761,9,378,356,287,311,73,47,309,Midfield,1
246070,Iván Jaime LM CAM ST,"Porto
2023 ~ 2028",22,CAM,12500000.0,83,75,11000.0,27500000.0,1,1934,8,362,362,309,362,147,50,342,Midfield,1
246785,Bryan Gil LW LM,"Tottenham Hotspur
2021 ~ 2026",22,CAM,17000000.0,83,77,68000.0,35700000.0,1,1767,6,395,250,283,372,93,49,325,Midfield,1
246928,Iván Martín CM CAM RM,"Girona
2023 ~ 2026",24,CAM,28500000.0,83,80,29000.0,62000000.0,1,2060,3,378,332,362,391,205,42,350,Midfield,1
247729,André Almeida CM CAM,"Valencia
2022 ~ 2028",23,CM,9000000.0,81,75,26000.0,20700000.0,1,2001,6,373,342,348,385,200,40,313,Midfield,1
251392,T. Krauß CDM CM,"FSV Mainz 05
2023 ~ 2027",22,CDM,10500000.0,82,75,20000.0,21000000.0,1,1992,7,363,370,369,315,219,43,313,Midfield,1
252794,Adrián Bernabé CAM CDM CM,"Parma
2021 ~ 2026",22,CAM,9500000.0,83,74,5000.0,17100000.0,1,2002,9,381,336,342,380,204,48,311,Midfield,1
254262,Z. Debast CB,"Anderlecht
2019 ~ 2025",19,CDM,6000000.0,84,73,10000.0,10200000.0,1,1859,11,318,337,308,339,222,38,297,Midfield,1
260843,A. Zaroury LM ST,"Hull City
Jun 30, 2024 On loan",22,RM,9500000.0,83,74,34000.0,0.0,1,1792,9,408,340,269,337,67,48,323,Midfield,1
264701,A. Zakharyan LM RM CM,"Real Sociedad
2023 ~ 2029",20,CAM,9500000.0,85,74,19000.0,21900000.0,1,1938,11,369,338,312,373,155,60,331,Midfield,1
271464,Y. Asprilla RW CAM,"Watford
2022 ~ 2026",19,CAM,3400000.0,81,70,12000.0,7100000.0,1,1796,11,355,332,280,339,145,60,285,Midfield,1
198784,A. Oxlade-Chamberlain CM CAM,"Beşiktaş
2023 ~ 2026",29,CAM,13500000.0,78,78,30000.0,25700000.0,2,2100,0,403,369,374,371,207,49,327,Midfield,1
260779,S. Adingra RM LM,"Brighton & Hove Albion
2022 ~ 2026",21,CAM,11500000.0,82,76,47000.0,24200000.0,1,1778,7,415,305,274,332,89,51,312,Midfield,1
272874,A. Engels CM CDM,"FC Augsburg
2023 ~ 2027",19,CM,5000000.0,83,72,11000.0,10000000.0,1,1965,11,358,347,337,360,186,56,321,Midfield,1
225663,A. Golovin CF LM,"Monaco
2018 ~ 2026",27,CAM,23000000.0,80,80,63000.0,43700000.0,3,2139,0,398,367,368,405,183,66,352,Midfield,1
225748,T. Cantwell CAM CM RM,"Rangers
2023 ~ 2027",25,CAM,7500000.0,78,75,44000.0,14100000.0,1,1826,3,373,298,299,357,121,63,315,Midfield,1
231102,L. Blas RW RM CAM,"Rennes
2023 ~ 2027",25,CAM,12500000.0,78,77,46000.0,24700000.0,2,2073,1,376,369,353,383,170,64,358,Midfield,1
234112,Dodô RB,"Fiorentina
2022 ~ 2027",24,RM,14000000.0,81,77,39000.0,24900000.0,1,2036,4,416,337,345,345,217,57,319,Midfield,1
235149,J. Schouten CDM CM CB,"PSV
2023 ~ 2028",26,CDM,19500000.0,81,79,20000.0,28800000.0,1,1921,2,339,338,343,322,231,43,305,Midfield,1
236920,J. Kluivert RM LM CAM,"AFC Bournemouth
2023 ~ 2028",24,RM,16000000.0,82,77,41000.0,31600000.0,1,1919,5,411,355,305,354,108,44,342,Midfield,1
238896,Pepê RM CAM LM,"Porto
2021 ~ 2027",26,RM,23000000.0,80,80,18000.0,46000000.0,1,1967,0,410,315,338,343,175,52,334,Midfield,1
239810,N. Raskin CM CDM,"Rangers
2023 ~ 2028",22,CM,12500000.0,84,75,40000.0,25000000.0,1,2053,9,383,365,344,359,216,59,327,Midfield,1
240507,A. Gomes CM CAM CDM,"LOSC Lille
2020 ~ 2025",22,CAM,15000000.0,83,76,26000.0,31500000.0,1,2110,7,405,359,354,370,216,63,343,Midfield,1
241928,A. Sambi Lokonga CM CDM,"Luton Town
Jun 30, 2024 On loan",23,CM,8500000.0,80,75,67000.0,0.0,1,1955,5,341,345,326,373,203,49,318,Midfield,1
242816,Riqui Puig CM CAM,"LA Galaxy
2022 ~ 2025",23,CAM,16000000.0,83,78,9000.0,25200000.0,1,1915,5,385,297,330,362,166,62,313,Midfield,1
242914,K. Nakamura LW LM,"Stade de Reims 
2023 ~ 2028",22,CAM,8500000.0,81,74,20000.0,18700000.0,1,1917,7,371,369,307,369,114,50,337,Midfield,1
246113,Adrià Pedrosa LB LWB,"Sevilla
2023 ~ 2028",25,LM,10000000.0,81,76,22000.0,21800000.0,1,2020,5,413,350,331,334,210,60,322,Midfield,1
247641,Tetê RM,"Galatasaray
2023 ~ 2027",23,CAM,8500000.0,80,75,31000.0,16800000.0,1,1846,5,390,327,294,358,107,43,327,Midfield,1
250789,D. Bakwa RM RW LW,"Strasbourg
2023 ~ 2027",20,LM,9500000.0,81,74,15000.0,20900000.0,1,1759,8,394,341,258,334,81,45,306,Midfield,1
251470,C. De Ketelaere CAM ST CF,"Atalanta
Jun 30, 2024 On loan",22,CAM,22500000.0,84,78,52000.0,0.0,1,2058,6,364,387,338,384,157,49,379,Midfield,1
253283,F. Pellistri RW RM,"Granada
Jun 30, 2024 On loan",21,RM,4200000.0,81,71,45000.0,0.0,1,1830,10,407,327,302,334,105,43,312,Midfield,1
255009,K. Taylor CM CAM LM,"Ajax
2018 ~ 2027",21,CAM,7000000.0,81,73,10000.0,11200000.0,1,1977,8,362,358,333,371,175,44,334,Midfield,1
255971,S. Hezze CDM CM,"Huracán
2020 ~ 2024",21,CM,12000000.0,83,76,9000.0,20400000.0,1,1917,8,346,362,337,304,212,56,300,Midfield,1
256035,K. Sulemana LW LM ST,"Southampton
2023 ~ 2027",21,RM,6000000.0,80,73,28000.0,12600000.0,1,1799,7,424,330,266,343,80,52,304,Midfield,1
256632,Luis Henrique LW LM,"Olympique de Marseille
2020 ~ 2025",21,RM,4400000.0,76,73,24000.0,8700000.0,1,1842,4,360,378,287,326,105,46,340,Midfield,1
257279,Álex Baena LM ST,"Villarreal
2019 ~ 2028",21,CAM,17000000.0,83,77,23000.0,39100000.0,1,2062,6,369,356,363,379,197,48,350,Midfield,1
257540,A. Knauff RM LM,"Eintracht Frankfurt
2023 ~ 2027",21,RM,11500000.0,81,76,25000.0,20400000.0,2,1904,5,400,335,310,322,150,55,332,Midfield,1
190765,P. Groß CM CDM RB,"Brighton & Hove Albion
2017 ~ 2025",32,CM,16500000.0,80,80,88000.0,31400000.0,2,2096,0,321,373,367,406,202,65,362,Midfield,1
201455,G. Kondogbia CM CDM,"Olympique de Marseille
2023 ~ 2027",30,CDM,20000000.0,79,79,47000.0,38000000.0,2,2161,0,346,430,376,364,242,53,350,Midfield,1
208421,Saúl CM,"Atlético Madrid
2013 ~ 2026",28,CM,21000000.0,79,79,61000.0,44100000.0,3,2158,0,356,389,380,374,229,51,379,Midfield,1
218339,M. Dahoud CM CDM,"VfB Stuttgart
Jun 30, 2024 On loan",27,CM,11000000.0,76,76,71000.0,0.0,2,2012,0,376,352,350,371,192,53,318,Midfield,1
257876,N. Seiwald CM CDM,"RB Leipzig
2023 ~ 2028",22,CM,17000000.0,84,76,38000.0,32299999.999999996,1,2033,8,379,366,348,354,219,41,326,Midfield,1
258171,H. Mejbri CM CAM,"Sevilla
Jun 30, 2024 On loan",20,CM,3000000.0,80,69,30000.0,0.0,1,1944,11,366,344,345,348,199,42,300,Midfield,1
260876,M. Kjaergaard CM,"Salzburg
2019 ~ 2026",20,CAM,5000000.0,82,72,10000.0,8500000.0,1,2005,10,360,375,347,355,187,46,335,Midfield,1
261539,M. Keita CDM CM,"Antwerp
Jun 30, 2024 On loan",21,CDM,12000000.0,83,75,10000.0,0.0,1,1978,8,378,391,335,328,217,52,277,Midfield,1
263815,Abner LB,"Real Betis
2023 ~ 2029",23,LM,6500000.0,82,73,14000.0,15000000.0,1,1906,9,383,303,315,334,208,57,306,Midfield,1
263929,M. Cancellieri LW CF,"Empoli
Jun 30, 2024 On loan",20,CAM,6500000.0,83,73,28000.0,0.0,1,1889,10,391,347,289,367,114,52,329,Midfield,1
264207,I. Koné CM,"Watford
2023 ~ 2025",21,CM,4200000.0,80,71,16000.0,8800000.0,1,1851,9,345,355,298,337,182,49,285,Midfield,1
270571,Gabriel Sara CM CDM RM,"Norwich City
2022 ~ 2026",24,CAM,12000000.0,85,78,30000.0,25200000.0,1,2078,6,371,403,338,383,171,53,359,Midfield,1
271019,G. Fabbian CM CAM,"Bologna
2023 ~ 2028",20,CAM,5000000.0,83,72,16000.0,9500000.0,1,1942,11,358,344,331,351,177,38,343,Midfield,1
230767,Renato Sanches CM RM,"Roma
Jun 30, 2024 On loan",25,CAM,18500000.0,81,78,68000.0,0.0,3,2165,3,407,398,381,374,211,50,344,Midfield,1
232104,D. James RM LM ST,"Leeds United
2021 ~ 2026",25,RM,6500000.0,76,75,38000.0,12800000.0,1,1915,1,428,332,324,331,131,48,321,Midfield,1
234078,O. Mangala CM CDM,"Olympique Lyonnais
Jun 30, 2024 On loan",25,CM,10000000.0,79,76,54000.0,0.0,2,1978,3,382,358,333,355,221,37,292,Midfield,1
239096,A. Karazor CDM CM CB,"VfB Stuttgart
2019 ~ 2026",26,CDM,5500000.0,76,76,21000.0,9400000.0,1,1667,0,276,300,292,275,226,44,254,Midfield,1
